,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
586,HIST1H4B,150.1535473,0.834211529,0.262562913,3.177187204,0.00148711,0.026542086
1707,VSX1,70.33242108,0.835430089,0.271572345,3.076270848,0.002096073,0.033091304
1193,GLTP,560.7316401,0.835510271,0.263685598,3.16858515,0.001531829,0.027165211
1414,LOC440390,12.01765572,0.839630553,0.269831566,3.111683944,0.001860235,0.030863333
619,LINC00222,21.71769659,0.842662973,0.22630117,3.723635062,0.000196375,0.007542955
1498,ETV4,59.34432319,0.842939645,0.290840616,2.898287232,0.003752068,0.046356266
1148,GYS2,17.62332121,0.844233736,0.262332351,3.218183855,0.001290051,0.024569875
1649,GLTSCR2-AS1,20.1021977,0.84570548,0.267627345,3.160011466,0.001577629,0.027741534
927,ZNF488,517.3115081,0.845964897,0.272670316,3.10251922,0.001918811,0.031509292
964,DNA2,160.414795,0.84885943,0.172197182,4.929577927,8.24E-07,0.000229148
1464,SLC47A2,68.36390818,0.850370513,0.208951098,4.069710662,4.71E-05,0.003116436
625,PHACTR2-AS1,16.04839612,0.850743997,0.278162771,3.058439471,0.00222493,0.034346007
1250,TSHR,62.30826525,0.850896339,0.278722762,3.052841227,0.002266858,0.034722706
1008,LOC100506258,83.04824131,0.852245767,0.226216217,3.767394656,0.00016496,0.006732374
970,PPP3CB-AS1,66.22788637,0.853442651,0.268338583,3.180469402,0.001470367,0.026412142
168,LHX4-AS1,105.1976867,0.855692802,0.182468934,4.689525968,2.74E-06,0.0004966
1059,PRRG4,21.60070998,0.85853285,0.27353924,3.13860947,0.001697515,0.029065548
59,CDK11A,105.5949045,0.859688508,0.205986364,4.173521456,3.00E-05,0.002378322
1494,RAMP2-AS1,55.37401757,0.860050603,0.179780115,4.783902851,1.72E-06,0.000376499
1259,LOC101929718,12.96247121,0.860760151,0.265519538,3.241795899,0.001187791,0.023129199
1463,EPN2-AS1,87.54114687,0.865124049,0.272385559,3.176101012,0.00149269,0.026584153
752,SPATC1,29.02741388,0.865496658,0.257811784,3.357087274,0.000787682,0.018252353
438,LOC401127,25.65803719,0.867997071,0.260902652,3.326900141,0.000878178,0.019278326
